Daily_Sales,Number_of_Transactions,Average_Order_Value,Refund_Amount,Expense_Amount,Profit,Inventory_Level,Delivery_Delay_Minutes,Website_Visits,Conversion_Rate,Employee_Hours,System_Error_Count,_sheet,anomaly_score,is_anomaly,num_anomaly_score,text_anomaly_score,_row_index
4628,146,31.7,303,2776,1852,1453,23,4340,2.9,416,2,Operational_Data,0.27,0,0.27,,0
7263,123,59.05,382,2751,4512,1324,10,2076,4.27,398,3,Operational_Data,0.276,0,0.276,,1
5854,147,39.82,318,3829,2025,882,11,2090,4.94,366,5,Operational_Data,0.346,0,0.346,,2
7577,144,52.62,316,3323,4254,957,20,3534,2.49,368,3,Operational_Data,0.1529,0,0.1529,,3
5294,114,46.44,330,4427,867,1370,24,3503,2.31,365,4,Operational_Data,0.2501,0,0.2501,,4
6536,134,48.78,373,2881,3655,1152,20,4346,2.43,486,3,Operational_Data,0.1744,0,0.1744,,5
4050,148,27.36,157,3547,503,1173,8,2705,3.54,428,2,Operational_Data,0.2759,0,0.2759,,6
6679,100,66.79,358,4226,2453,907,23,2940,3.93,444,4,Operational_Data,0.1456,0,0.1456,,7
6231,154,40.46,312,2897,3334,1172,18,2773,4.23,455,2,Operational_Data,0.1515,0,0.1515,,8
6337,139,45.59,381,4380,1957,1110,25,4725,4.9,366,0,Operational_Data,0.3845,0,0.3845,,9
7528,113,66.62,199,3074,4454,862,20,2511,2.77,375,5,Operational_Data,0.2793,0,0.2793,,10
4663,146,31.94,258,4317,346,1409,24,2347,2.81,477,4,Operational_Data,0.3359,0,0.3359,,11
5592,123,45.46,200,2577,3015,1097,16,3639,4.86,463,4,Operational_Data,0.1767,0,0.1767,,12
4542,141,32.21,307,4352,190,1368,9,3157,2.56,352,4,Operational_Data,0.3382,0,0.3382,,13
5870,149,39.4,311,2838,3032,1078,16,2448,2.87,395,0,Operational_Data,0.172,0,0.172,,14
6015,148,40.64,112,3984,2031,985,17,2168,4.54,373,5,Operational_Data,0.3461,0,0.3461,,15
7638,116,65.84,148,3543,4095,872,25,4372,3.09,490,1,Operational_Data,0.3262,0,0.3262,,16
4956,126,39.33,363,2818,2138,1477,17,4372,4.77,497,3,Operational_Data,0.3293,0,0.3293,,17
5632,85,66.26,209,4019,1613,1134,15,4727,2.48,458,0,Operational_Data,0.1993,0,0.1993,,18
6847,123,55.67,134,3040,3807,830,9,4975,4.3,485,2,Operational_Data,0.3585,0,0.3585,,19
7990,122,65.49,303,3899,4091,847,12,2679,3.99,450,5,Operational_Data,0.2411,0,0.2411,,20
4353,156,27.9,112,3520,833,1376,21,2433,4.38,403,3,Operational_Data,0.4544,1,0.4544,,21
6379,115,55.47,144,4235,2144,827,19,2302,4.01,392,5,Operational_Data,0.2454,0,0.2454,,22
4782,109,43.87,272,3349,1433,1030,8,3689,2.21,355,4,Operational_Data,0.1962,0,0.1962,,23
5877,133,44.19,168,3565,2312,842,16,3603,3.25,470,2,Operational_Data,0.0988,0,0.0988,,24
5559,133,41.8,347,4192,1367,1318,23,3619,4.06,440,0,Operational_Data,0.1085,0,0.1085,,25
4680,132,35.45,305,2657,2023,1159,7,3827,2.81,392,5,Operational_Data,0.1995,0,0.1995,,26
4106,118,34.8,232,4119,-13,1020,21,4479,4.66,351,2,Operational_Data,0.3769,0,0.3769,,27
4097,89,46.03,333,3396,701,1018,11,4031,3.22,429,5,Operational_Data,0.1974,0,0.1974,,28
7692,107,71.89,318,3262,4430,990,25,2784,2.96,427,3,Operational_Data,0.2027,0,0.2027,,29
5655,112,50.49,118,3833,1822,1215,14,4930,3.73,421,1,Operational_Data,0.1443,0,0.1443,,30
359,136,39.58,154,6947,-6588,990,22,3239,2.93,491,33,Operational_Data,0.8193,1,0.8193,,31
